name,constellation,RA_hour,RA_min,RA_sec,dec_deg,dec_min,dec_sec,magnitude,LY_distance
41 H. And,Andromeda,01,41,46.52,+42,36,49.7,4.96,41
Upsilon And,Andromeda,01,36,47.98,+41,24,23.0,4.10,44
7 And,Andromeda,23,12,32.92,+49,24,21.5,4.53,80
Lambda And,Andromeda,23,37,33.71,+46,27,33.0,3.81,84
Omega And,Andromeda,01,27,39.09,+45,24,25.0,4.83,92
Alpha And,Andromeda,00,08,23.17,+29,05,27.0,2.07,97
Delta And,Andromeda,00,39,19.60,+30,51,40.4,3.27,101
Mu And,Andromeda,00,56,45.10,+38,29,57.3,3.86,136
Sigma And,Andromeda,00,18,19.71,+36,47,07.2,4.51,141
Epsilon And,Andromeda,00,38,33.50,+29,18,44.5,4.34,169
Kappa And,Andromeda,23,40,24.44,+44,20,02.3,4.15,170
51 And,Andromeda,01,37,59.50,+48,37,42.6,3.59,174
3 And,Andromeda,23,04,10.83,+50,03,06.1,4.64,179
Zeta And,Andromeda,00,47,20.39,+24,16,02.6,4.08,181
Xi And,Andromeda,01,22,20.39,+45,31,43.5,4.87,195
58 And,Andromeda,02,08,29.15,+37,51,33.1,4.78,198
Beta And,Andromeda,01,09,43.80,+35,37,15.0,2.07,199
Eta And,Andromeda,00,57,12.43,+23,25,03.9,4.40,243
Theta And,Andromeda,00,17,05.54,+38,40,54.0,4.61,253
65 And,Andromeda,02,25,37.40,+50,16,43.2,4.73,345
Gamma2 And,Andromeda,02,03,54.70,+42,19,51.0,4.84,350
Gamma1 And,Andromeda,02,03,53.92,+42,19,47.5,2.10,355
Iota And,Andromeda,23,38,08.18,+43,16,05.1,4.29,502
60 And,Andromeda,02,13,13.34,+44,13,54.1,4.84,556
8 And,Andromeda,23,17,44.62,+49,00,55.0,4.82,655
Pi And,Andromeda,00,36,52.84,+33,43,09.7,4.34,656
Nu And,Andromeda,00,49,48.83,+41,04,44.2,4.53,679
Tau And,Andromeda,01,40,34.80,+40,34,37.6,4.96,681
Omicron And,Andromeda,23,01,55.25,+42,19,33.5,3.62,692
Phi And,Andromeda,01,09,30.12,+47,14,30.6,4.26,736
5 And,Andromeda,23,07,45.25,+49,17,43.6,5.68,111
23 And,Andromeda,00,13,30.94,+41,02,08.6,5.71,114
36 And,Andromeda,00,54,58.02,+23,37,42.4,5.46,127
Rho And,Andromeda,00,21,07.23,+37,58,07.3,5.16,160
44 And,Andromeda,01,10,18.85,+42,04,53.7,5.67,172
GN And,Andromeda,00,30,07.34,+29,45,06.1,5.20,185
41 And,Andromeda,01,08,00.72,+43,56,32.1,5.04,196
6 Per,Andromeda,02,13,36.02,+51,03,58.4,5.31,199
47 And,Andromeda,01,23,40.56,+37,42,54.0,5.60,211
V340 And,Andromeda,23,34,37.55,+40,14,11.6,5.55,233
Chi And,Andromeda,01,39,21.02,+44,23,10.1,5.01,242
14 And,Andromeda,23,31,17.20,+39,14,11.0,5.22,249
62 And,Andromeda,02,19,16.85,+47,22,48.0,5.31,255
HD 2421,Andromeda,00,28,13.59,+44,23,40.2,5.18,265
49 And,Andromeda,01,30,06.10,+47,00,26.6,5.27,290
V388 And,Andromeda,23,27,07.33,+42,54,43.1,5.75,294
56 And,Andromeda,01,56,09.23,+37,15,06.5,5.69,320
11 And,Andromeda,23,19,29.79,+48,37,30.7,5.44,328
4 And,Andromeda,23,07,39.28,+46,23,14.3,5.30,342
32 And,Andromeda,00,41,07.20,+39,27,31.2,5.30,344
2 And,Andromeda,23,02,36.34,+42,45,28.1,5.09,349
PZ And,Andromeda,02,20,58.17,+50,09,05.5,5.57,356
64 And,Andromeda,02,24,24.89,+50,00,23.9,5.19,375
18 And,Andromeda,23,39,08.35,+50,28,18.3,5.35,390
HD 5788,Andromeda,01,00,03.55,+44,42,47.9,5.69,420
55 And,Andromeda,01,53,17.35,+40,43,47.3,5.42,540
V428 And,Andromeda,00,36,46.47,+44,29,18.6,5.14,656
HD 16028,Andromeda,02,35,38.74,+37,18,44.2,5.72,676
22 And,Andromeda,00,10,19.24,+46,04,20.2,5.01,1006
Psi And,Andromeda,23,46,02.04,+46,25,13.0,4.97,1309
V439 And,Andromeda,00,06,36.53,+29,01,19.0,6.07,45
HD 224635,Andromeda,23,59,29.33,+33,43,26.9,5.81,95
6 And,Andromeda,23,10,27.36,+43,32,41.1,5.91,112
HD 8673,Andromeda,01,26,08.62,+34,34,47.7,6.34,125
12 And,Andromeda,23,20,53.17,+38,10,56.9,5.77,138
HD 14622,Andromeda,02,22,50.36,+41,23,47.5,5.81,154
66 And,Andromeda,02,27,51.75,+50,34,12.7,6.16,173
HD 5608,Andromeda,00,58,14.19,+33,57,03.8,5.99,190
HD 220105,Andromeda,23,20,44.11,+44,06,58.5,6.25,261
59 And A,Andromeda,02,10,52.83,+39,02,22.5,6.09,263
GO And,Andromeda,00,50,18.21,+45,00,08.1,6.13,296
HD 1185,Andromeda,00,16,21.50,+43,35,42.4,6.12,303
39 And,Andromeda,01,02,54.28,+41,20,42.7,5.95,344
KK And,Andromeda,01,34,16.60,+37,14,13.9,5.90,392
HD 895,Andromeda,00,13,23.93,+26,59,15.4,6.24,403
OP And,Andromeda,01,36,27.21,+48,43,22.2,6.20,420
OU And,Andromeda,23,49,40.96,+36,25,31.4,5.86,440
HD 3883,Andromeda,00,41,35.98,+24,37,44.6,6.06,462
HD 2767,Andromeda,00,31,25.61,+33,34,54.1,5.88,467
HD 2942,Andromeda,00,32,49.09,+28,16,48.8,6.26,469
AN And,Andromeda,23,18,23.33,+41,46,25.3,5.98,472
10 And,Andromeda,23,19,52.38,+42,04,40.9,5.81,542
HD 1606,Andromeda,00,20,24.39,+30,56,08.2,5.89,582
HD 221776,Andromeda,23,34,46.73,+38,01,26.3,6.18,678
26 And,Andromeda,00,18,42.15,+43,47,28.1,6.10,692
HD 222109,Andromeda,23,37,32.03,+44,25,44.5,5.81,823
HD 221246,Andromeda,23,30,07.39,+49,07,59.3,6.19,856
45 And,Andromeda,01,11,10.29,+37,43,26.9,5.80,916
HD 223229,Andromeda,23,47,33.05,+46,49,57.3,6.08,1320
HD 225218,Andromeda,00,04,36.60,+42,05,33.2,6.11,1680
RU And,Andromeda,01,38,37,+38,40,12,9.9,0
GRB 34,Andromeda,00,18,22.9,+44,01,22,8.01,11.62
HD 13931,Andromeda,02,16,47.38,+43,46,22.8,7.52,144
HD 222155,Andromeda,23,38,00,+48,59,47,7.1,160
V529 And,Andromeda,01,27,26.67,+41,06,04.0,6.42,182
HD 16175,Andromeda,02,37,01.91,+42,03,45.5,7.28,195
HD 1605,Andromeda,00,20,32.0,+30,58,29,7.52,276
HD 222399,Andromeda,23,40,02.82,+37,39,10.2,6.49,291
HD 6114,Andromeda,01,03,01.47,+47,22,34.3,6.46,337
HD 15082,Andromeda,02,26,51.06,+37,33,01.7,8.3,377
GY And,Andromeda,01,38,31.84,+45,23,58.9,6.38,455
HD 7853,Andromeda,01,18,47.02,+37,23,10.7,6.44,456
ET And,Andromeda,23,17,55.99,+45,29,20.2,6.48,545
HD 16004,Andromeda,02,35,27.89,+39,39,52.1,6.36,580
HAT-P-6,Andromeda,23,39,05.81,+42,27,57.5,10.54,650
CG And,Andromeda,00,00,43.62,+45,15,12.0,6.36,678
PY And,Andromeda,00,36,20.00,+27,15,17,6.50,701
HD 5583,Andromeda,00,57,57.0,+34,59,08,7.6,721
HAT-P-16,Andromeda,00,38,17.56,+42,27,47.2,10.8,766
HD 222641,Andromeda,23,42,14.68,+44,59,30.3,6.43,786
R And,Andromeda,00,24,01.95,+38,34,37.3,7.39,790
HAT-P-32,Andromeda,02,01,10,+46,41,16,11.29,1044
LN And,Andromeda,23,02,45.15,+44,03,31.6,6.37,1177
WASP-1,Andromeda,00,20,40.08,+31,59,23.8,11.79,1239
V385 And,Andromeda,23,24,08.88,+41,36,46.3,6.37,1249
RW And,Andromeda,00,47,18.92,+32,41,08.6,7.9,1375
Z And,Andromeda,23,33,39.95,+48,49,05.9,10.53,1393
59 And B,Andromeda,02,10,53.67,+39,02,36.0,6.82,1698
Y And,Andromeda,01,39,36.89,+39,20,35,10.39,8000
Beta Ari,Aries,01,54,38.35,+20,48,29.9,2.64,60
Alpha Ari,Aries,02,07,10.29,+23,27,46.0,2.01,66
Eta Ari,Aries,02,12,47.98,+21,12,39.5,5.23,98
38 Ari,Aries,02,44,57.51,+12,26,45.5,5.18,125
Lambda Ari,Aries,01,57,55.78,+23,35,45.9,4.79,133
21 Ari,Aries,02,15,42.83,+25,02,35.7,5.57,157
41 Ari,Aries,02,49,58.99,+27,15,38.8,3.61,159
Gamma1 Ari,Aries,01,53,31.77,+19,17,38.7,4.70,164
Gamma2 Ari,Aries,01,53,31.80,+19,17,45.0,4.62,164
Delta Ari,Aries,03,11,37.67,+19,43,36.1,4.35,168
39 Ari,Aries,02,47,54.44,+29,14,50.7,4.52,181
Kappa Ari,Aries,02,06,33.91,+22,38,54.3,5.03,187
64 Ari,Aries,03,24,18.46,+24,43,27.1,5.50,230
33 Ari,Aries,02,40,41.03,+27,03,39.6,5.30,233
Tau2 Ari,Aries,03,22,45.27,+20,44,31.6,5.10,319
14 Ari,Aries,02,09,25.29,+25,56,23.9,4.98,320
Epsilon Ari A,Aries,02,59,12.70,+21,20,25.0,5.2,332
Epsilon Ari B,Aries,02,59,12.73,+21,20,25.6,5.5,332
Zeta Ari,Aries,03,14,54.11,+21,02,40.7,4.87,340
Nu Ari,Aries,02,38,49.00,+21,57,41.2,5.45,346
35 Ari,Aries,02,43,27.11,+27,42,25.8,4.65,370
Theta Ari,Aries,02,18,07.55,+19,54,04.2,5.58,387
52 Ari A,Aries,03,05,26.69,+25,15,18.7,5.45,402
Tau1 Ari,Aries,03,21,13.61,+21,08,49.7,5.27,462
Sigma Ari,Aries,02,51,29.57,+15,04,55.7,5.52,479
Xi Ari,Aries,02,24,49.04,+10,36,38.2,5.48,603
Pi Ari,Aries,02,49,17.56,+17,27,51.6,5.26,603
HD 20644,Aries,03,20,20.37,+29,02,54.6,4.47,640
Iota Ari,Aries,01,57,21.03,+17,49,03.3,5.09,659
62 Ari,Aries,03,22,11.89,+27,36,27.3,5.55,973
1 Ari B,Aries,01,50,08.50,+22,16,33.0,5.90,0
29 Ari,Aries,02,32,54.15,+15,02,04.1,6.00,94
47 Ari,Aries,02,58,05.08,+20,40,07.7,5.80,104
31 Ari,Aries,02,36,37.75,+12,26,52.2,5.64,115
Rho3 Ari,Aries,02,56,25.98,+18,01,25.1,5.58,115
20 Ari,Aries,02,15,45.94,+25,46,59.2,5.79,131
54 Cet,Aries,01,50,52.01,+11,02,36.4,5.93,139
HD 15524,Aries,02,30,32.31,+25,14,06.8,5.88,166
10 Ari,Aries,02,03,39.26,+25,56,07.6,5.64,172
59 Ari,Aries,03,19,55.81,+27,04,16.7,5.91,205
49 Ari,Aries,03,01,54.15,+26,27,44.4,5.91,214
4 Ari,Aries,01,48,10.90,+16,57,20.3,5.86,287
HD 19270,Aries,03,06,23.69,+13,11,14.6,5.64,319
Mu Ari,Aries,02,42,21.92,+20,00,41.7,5.74,338
56 Ari,Aries,03,12,14.24,+27,15,25.2,5.78,371
HD 12139,Aries,01,59,35.60,+21,03,31.0,5.89,399
Rho2 Ari,Aries,02,55,48.50,+18,19,54.0,5.76,403
HD 20149,Aries,03,15,20.45,+30,33,24.0,5.61,434
HD 18700,Aries,03,00,44.09,+10,52,13.7,5.93,441
HR 830,Aries,02,48,45.87,+25,11,17.1,5.89,460
Omicron Ari,Aries,02,44,32.97,+15,18,42.8,5.78,482
40 Ari,Aries,02,48,32.06,+18,17,01.9,5.83,502
7 Ari,Aries,01,55,51.03,+23,34,38.4,5.76,522
HD 19698,Aries,03,10,38.78,+11,52,21.7,5.97,522
19 Ari,Aries,02,13,03.25,+15,16,47.7,5.72,541
HD 13522,Aries,02,12,37.51,+24,10,04.1,5.96,565
1 Ari A,Aries,01,50,08.58,+22,16,31.3,5.83,574
15 Ari,Aries,02,10,37.54,+19,30,01.5,5.68,665
HD 12479,Aries,02,02,35.08,+13,28,36.2,5.97,845
55 Ari,Aries,03,09,36.73,+29,04,37.6,5.74,1128
51 Ari,Aries,03,02,25.87,+26,36,34.7,6.62,69
HD 20367,Aries,03,17,40.12,+31,07,37.9,6.40,88
HD 13201,Aries,02,09,23.03,+17,13,28.7,6.40,128
30 Ari A,Aries,02,37,00.44,+24,38,50.1,6.48,131
HD 18928,Aries,03,03,30.11,+28,16,11.8,6.38,163
UX Ari,Aries,03,26,35.36,+28,42,55.2,6.47,164
26 Ari,Aries,02,30,38.37,+19,51,19.4,6.14,226
66 Ari,Aries,03,28,26.57,+22,48,15.4,6.03,226
HD 15385,Aries,02,29,13.63,+23,28,08.7,6.20,264
HD 12140,Aries,01,59,25.88,+12,17,41.8,6.09,269
60 Ari,Aries,03,20,25.57,+25,39,46.7,6.14,289
65 Ari,Aries,03,24,26.11,+20,48,12.6,6.07,303
27 Ari,Aries,02,30,54.38,+17,42,14.6,6.21,313
HD 14262,Aries,02,18,57.96,+23,10,04.2,6.45,343
HD 19789,Aries,03,11,21.93,+13,02,52.1,6.11,344
HD 16955,Aries,02,43,51.25,+25,38,18.0,6.35,352
HD 17918,Aries,02,53,11.66,+16,29,01.0,6.30,352
HD 19637,Aries,03,10,27.04,+26,53,45.9,6.02,406
36 Ari,Aries,02,44,19.09,+17,45,50.5,6.46,413
85 Cet,Aries,02,42,28.95,+10,44,30.4,6.32,426
HD 15152,Aries,02,27,07.26,+27,00,45.3,6.14,464
HD 19549,Aries,03,09,20.10,+20,45,40.1,6.41,506
HD 14067,Aries,02,17,10.4,+23,46,04,6.51,533
54 Ari,Aries,03,08,21.09,+18,47,42.3,6.25,570
HD 19600,Aries,03,10,08.83,+27,49,11.6,6.42,601
HD 19080,Aries,03,04,40.65,+15,51,22.5,6.37,631
53 Ari,Aries,03,07,25.69,+17,52,47.9,6.13,755
16 Ari,Aries,02,11,12.06,+25,56,13.0,6.01,801
11 Ari,Aries,02,06,49.22,+25,42,16.5,6.01,1160
HD 12594,Aries,02,03,42.61,+18,15,11.8,6.24,1342
23 Ari,Aries,02,19,08.72041,+19,41,15.7463,6.83,0
50 Ari,Aries,03,00,31.50536,+18,00,17.9143,6.80,395.24
52 Ari B,Aries,03,05,26.70,+25,15,19.0,7.00,473
PSR B0301+19,Aries,03,04,33.12,+19,32,51.4,,0
RV Ari,Aries,02,15,07.50,+18,04,27.9,11.61,2877.45
RX Ari,Aries,02,15,20.78,+22,34,11.1,9.41,875.34
TT Ari,Aries,02,06,53.08,+15,17,41.8,10.2,811.67
XY Ari,Aries,02,56,08.19,+19,26,34.1,,0
HD 12661,Aries,02,04,34.29,+25,24,51.5,7.44,121
30 Ari B,Aries,02,36,57.64,+24,38,53.1,7.09,129
VY Ari,Aries,02,48,43.72,+31,06,54.7,6.76,136.5
HD 17674,Aries,02,51,04.3,+30,17,12,7.56,145
HIP 14810,Aries,03,11,14.23,+21,05,50.5,8.52,172
BD +20°307,Aries,01,54,50.79,+21,18,22.5,9.01,300
Rho1 Ari,Aries,02,54,55.17,+17,44,05.3,7.01,313
HD 14787,Aries,02,50,53.0,+29,01,21,7.63,390
WASP-11/HAT-P-10,Aries,03,09,28.55,+30,40,24.9,11.89,408
VW Ari,Aries,02,26,45.65,+10,33,55.1,6.69,416
AF Ari,Aries,02,22,06.62,+22,52,24.9,6.71,615
SS Ari,Aries,02,04,18.41,+24,00,02.2,10.15,692
HAT-P-47,Aries,02,33,14.0,+30,21,38,10.6,874
X Ari,Aries,03,08,30.89,+10,26,45.2,9.04,3700
R Ari,Aries,02,16,07.11,+25,03,23.7,7.40,3900
Lambda Aur,Auriga,05,19,08.08,+40,06,02.4,4.69,41
Capella,Auriga,05,16,41.30,+45,59,56.5,0.08,42
Beta Aur,Auriga,05,59,31.77,+44,56,50.8,1.90,82
9 Aur,Auriga,05,06,40.66,+51,35,53.3,4.98,85
Delta Aur,Auriga,05,59,31.55,+54,17,05.9,3.72,140
Omega Aur,Auriga,04,59,15.38,+37,53,25.7,4.93,159
Mu Aur,Auriga,05,13,25.73,+38,29,04.8,4.82,162
Kappa Aur,Auriga,06,15,22.74,+29,29,55.4,4.32,169
Theta Aur,Auriga,05,59,43.24,+37,12,46.0,2.62,173
Tau Aur,Auriga,05,49,10.46,+39,10,52.1,4.51,213
Nu Aur,Auriga,05,51,29.39,+39,08,54.5,3.97,215
Eta Aur,Auriga,05,06,30.87,+41,14,04.7,3.18,219
16 Aur,Auriga,05,18,10.55,+33,22,19.2,4.54,234
Xi Aur,Auriga,05,54,50.79,+55,42,24.9,4.96,241
KW Aur,Auriga,05,15,24.41,+32,41,15.3,5.01,269
Psi4 Aur,Auriga,06,43,05.01,+44,31,28.3,5.04,306
Psi7 Aur,Auriga,06,50,45.96,+41,46,53.6,4.99,364
Phi Aur,Auriga,05,27,38.89,+34,28,33.6,5.08,400
Psi2 Aur,Auriga,06,39,19.83,+42,29,20.4,4.80,432
63 Aur,Auriga,07,11,39.29,+39,19,14.0,4.91,464
Upsilon Aur,Auriga,05,51,02.41,+37,18,20.5,4.72,475
Iota Aur,Auriga,04,56,59.62,+33,09,58.1,2.69,512
Sigma Aur,Auriga,05,24,39.14,+37,23,07.4,5.02,513
2 Aur,Auriga,04,52,38.00,+36,42,11.5,4.79,561
Zeta Aur,Auriga,05,02,28.68,+41,04,33.2,3.69,787
Pi Aur,Auriga,05,59,56.10,+45,56,12.3,4.30,840
Epsilon Aur,Auriga,05,01,58.13,+43,49,23.9,3.03,2037
19 Aur,Auriga,05,20,00.92,+33,57,29.0,5.05,3075
Psi1 Aur,Auriga,06,24,53.90,+49,17,16.4,4.92,3835
Chi Aur,Auriga,05,32,43.67,+32,11,31.3,4.71,4075
Psi5 Aur,Auriga,06,46,44.34,+43,34,37.3,5.24,54
39 Aur,Auriga,06,05,03.42,+42,58,55.1,5.90,168
5 Aur,Auriga,05,00,18.35,+39,23,40.9,5.95,173
45 Aur,Auriga,06,21,46.11,+53,27,08.6,5.34,186
65 Aur,Auriga,07,22,02.69,+36,45,38.3,5.12,235
64 Aur,Auriga,07,18,02.22,+40,53,00.1,5.87,268
WW Aur,Auriga,06,32,27.20,+32,27,17.8,5.82,275
HD 34790,Auriga,05,21,12.69,+29,34,11.6,5.66,278
41 Aur A,Auriga,06,11,36.58,+48,42,40.0,5.78,311
51 Aur,Auriga,06,38,39.55,+39,23,28.0,5.70,317
HD 30453,Auriga,04,49,19.06,+32,35,17.8,5.84,336
40 Aur,Auriga,06,06,35.09,+38,28,58.0,5.36,380
53 Aur,Auriga,06,38,23.02,+28,59,03.8,5.76,421
Psi6 Aur,Auriga,06,47,39.58,+48,47,22.1,5.22,424
26 Aur,Auriga,05,38,38.10,+30,29,32.8,5.40,447
49 Aur,Auriga,06,35,12.06,+28,01,20.4,5.26,447
IQ Aur,Auriga,05,19,00.02,+33,44,54.5,5.38,448
Omicron Aur,Auriga,05,45,54.05,+49,49,34.6,5.46,482
47 Aur,Auriga,06,30,02.98,+46,41,07.9,5.88,530
Rho Aur,Auriga,05,21,48.41,+41,48,16.8,5.22,642
PU Aur,Auriga,05,18,15.68,+42,47,31.9,5.55,694
66 Aur,Auriga,07,24,08.47,+40,40,20.8,5.23,728
Psi3 Aur,Auriga,06,38,49.19,+39,54,09.3,5.34,758
Psi9 Aur,Auriga,06,56,32.06,+46,16,26.4,5.85,825
V394 Aur,Auriga,06,06,22.44,+29,30,44.7,6.01,893
36 Aur,Auriga,06,00,58.56,+47,54,07.1,5.71,1022
V433 Aur,Auriga,05,39,18.31,+29,12,54.8,5.98,1177
AE Aur,Auriga,05,16,18.15,+34,18,44.0,5.99,1455
RT Aur,Auriga,06,28,34.09,+30,29,35.1,5.75,1560
UU Aur,Auriga,06,36,32.84,+38,26,44.0,5.40,1811
12 Aur,Auriga,05,16,27.10,+46,24,56.0,6.90,2136.80
41 Aur B,Auriga,06,11,36.60,+48,42,40.0,6.09,305.88
V538 Aur,Auriga,05,41,20.33,+53,28,56.4,6.21,40
HD 40979,Auriga,06,04,29.94,+44,15,37.6,6.74,109
60 Aur,Auriga,06,53,13.37,+38,26,18.4,6.32,214
18 Aur,Auriga,05,19,23.72,+33,59,07.6,6.49,235
42 Aur,Auriga,06,17,34.68,+46,25,26.1,6.53,235
38 Aur,Auriga,06,03,17.87,+42,54,42.8,6.08,261
34 Cam,Auriga,05,59,45.83,+55,19,15.9,6.42,342
43 Aur,Auriga,06,18,16.86,+46,21,38.7,6.33,346
35 Cam,Auriga,06,04,29.11,+51,34,24.6,6.39,394
AR Aur,Auriga,05,18,18.89,+33,46,02.7,6.15,398
HD 36041,Auriga,05,30,45.07,+39,49,33.6,6.38,460
AB Aur,Auriga,04,55,45.84,+30,33,04.29,7.06,469
HIP 26712,Auriga,05,40,35.91,+31,21,29.6,6.04,502
59 Aur,Auriga,06,53,01.41,+38,52,08.9,6.10,530
V440 Aur,Auriga,05,51,25.74,+32,07,28.9,6.28,580
V403 Aur,Auriga,05,57,04.90,+49,01,46,6.47,583
22 Aur,Auriga,05,23,22.86,+28,56,12.6,6.45,593
62 Aur,Auriga,06,59,02.88,+38,03,09.4,6.02,603
HD 35519,Auriga,05,26,54.33,+35,27,26.3,6.17,644
25 Cam,Auriga,05,43,58.59,+54,51,53.4,6.94,709
54 Aur,Auriga,06,39,33.12,+28,15,47.4,6.02,709
33 Cam,Auriga,05,57,40.57,+55,39,24.1,7.15,734
Psi8 Aur,Auriga,06,53,57.07,+38,30,18.3,6.46,825
V352 Aur,Auriga,06,55,14.66,+43,54,36.2,6.16,869
HD 33463,Auriga,05,11,38.31,+29,54,13.1,6.42,1144
6 Aur,Auriga,05,00,23.21,+39,39,16.8,6.46,1244
NO Aur,Auriga,05,40,42.05,+31,55,14.2,6.23,1370
LY Aur,Auriga,05,29,42.6511,+35,22,30.089,6.85,2000
HD 42012,Auriga,05,27,52.4005,+34,46,58.25,8.44,121
HD 49674,Auriga,06,51,30.52,+40,52,03.9,8.10,133
HD 45350,Auriga,06,28,45.71,+38,57,46.7,7.88,160
HD 43691,Auriga,06,19,34.68,+41,05,32.3,8.03,304
KELT-2A,Auriga,06,10,39,+30,57,25,8.77,419
IU Aur,Auriga,05,27,52.4005,+34,46,58.25,8.39,700
EO Aur,Auriga,05,18,21.0655,+36,37,55.336,7.83,1200
WASP-12,Auriga,06,30,33.0,+29,40,20,11.69,1393
MZ Aur,Auriga,05,20,33.0354,+36,37,56.031,8.16,4000
V420 Aur,Auriga,05,22,35.2305,+37,40,33.629,7.45,8000
V423 Aur,Auriga,05,23,10.0664,+35,42,32.272,8.68,9000
Arcturus,Boötes,14,15,39.7,+19,10,56,-0.05,36.7
Alpha Cae,Caelum,04,40,33.82,+41,51,48.9,4.44,66
Beta Cae,Caelum,04,42,03.45,+37,08,41.2,5.04,90
HD 32820,Caelum,05,03,53.94,+41,44,43.2,6.30,102
HD 28454,Caelum,04,27,05.92,+46,56,48.6,6.10,106
HD 28246,Caelum,04,25,19.10,+44,09,39.8,6.38,121
Nu Cae,Caelum,04,50,16.18,+41,19,15.6,6.06,171
Gamma1 Cae,Caelum,05,04,24.31,+35,28,58.3,4.55,185
HD 30669,Caelum,04,48,28.49,+28,25,09.46,9.11,190
HD 31093,Caelum,04,51,28.20,+34,54,22.4,5.82,286
HD 30432,Caelum,04,45,55.50,+39,21,23.7,6.04,315
HD 32515,Caelum,05,02,22.81,+31,46,17.5,5.92,329
X Cae,Caelum,05,04,26.14,+35,42,18.7,6.32,334
HD 29559,Caelum,04,37,19.25,+41,52,23.0,6.40,358
HD 32453,Caelum,05,01,34.53,+39,43,05.3,6.02,366
HD 28700,Caelum,04,29,20.04,+46,30,55.3,6.13,392
Zeta Cae,Caelum,04,47,49.56,+30,01,14.2,6.35,513
Lambda Cae,Caelum,04,43,44.26,+41,03,53.3,6.24,652
Delta Cae,Caelum,04,30,50.10,+44,57,13.5,5.07,710
HD 30080,Caelum,04,43,09.31,+30,45,55.4,5.66,748
HD 30786,Caelum,04,49,11.76,+34,18,42.61,6.80,999
HD 31529,Caelum,04,54,54.82,+39,37,43.2,6.11,1012
RV Cae,Caelum,04,28,09.48,+41,57,35.4,6.41,1072
W Cae,Caelum,04,50,21.56,+45,46,50.09,9.79,1195
S Cae,Caelum,04,56,56.48,+33,08,00.07,10.71,1333
HD 32277,Caelum,05,00,11.71,+37,59,40.45,8.99,1386
R Cae,Caelum,04,40,30.08,+38,14,06.92,6.70,1763
T Cae,Caelum,04,47,18.92,+36,12,33.57,7.73,4659
HD 33564,Camelopardalis,05,22,33.78,+79,13,50.7,5.08,68
HD 90089,Camelopardalis,10,31,05.02,+82,33,30.7,5.25,70
HD 106112,Camelopardalis,12,12,11.91,+77,36,58.3,5.14,110
4 Cam,Camelopardalis,04,48,00.22,+56,45,27.1,5.29,162
HD 42818,Camelopardalis,06,18,50.78,+69,19,12.1,4.76,176
HD 49878,Camelopardalis,07,00,03.85,+76,58,38.8,4.55,187
HD 21447,Camelopardalis,03,30,00.23,+55,27,06.6,5.09,191
HD 27022,Camelopardalis,04,20,40.36,+65,08,25.6,5.26,333
Gamma Cam,Camelopardalis,03,50,21.48,+71,19,56.5,4.59,335
HD 24479,Camelopardalis,03,57,25.44,+63,04,20.1,4.95,338
16 Cam,Camelopardalis,05,23,27.83,+57,32,40.3,5.24,340
HD 26764,Camelopardalis,04,16,43.11,+53,36,42.5,5.20,353
7 Cam,Camelopardalis,04,57,17.22,+53,45,07.5,4.43,376
31 Cam,Camelopardalis,05,54,57.83,+59,53,18.3,5.20,405
VZ Cam,Camelopardalis,07,31,04.48,+82,24,41.6,4.92,473
3 Cam,Camelopardalis,04,39,54.69,+53,04,46.5,5.07,495
BD Cam,Camelopardalis,03,42,09.35,+63,13,00.3,5.06,520
11 Cam,Camelopardalis,05,06,08.46,+58,58,20.6,5.22,671
HD 23089,Camelopardalis,03,46,02.33,+63,20,42.2,4.78,799
BK Cam,Camelopardalis,03,19,59.26,+65,39,08.4,4.74,801
42 Cam,Camelopardalis,06,50,57.09,+67,34,18.9,5.14,867
BE Cam,Camelopardalis,03,49,31.29,+65,31,33.6,4.39,964
Beta Cam,Camelopardalis,05,03,25.10,+60,26,32.2,4.03,997
43 Cam,Camelopardalis,06,53,42.24,+68,53,17.9,5.11,1000
CQ Cam,Camelopardalis,03,24,40.56,+64,35,09.6,5.13,1249
HD 25291,Camelopardalis,04,04,27.16,+59,09,19.8,5.00,1734
HD 24480,Camelopardalis,03,57,08.29,+61,06,32.1,4.99,1852
CE Cam,Camelopardalis,03,29,54.75,+58,52,43.5,4.55,2470
CS Cam,Camelopardalis,03,29,04.13,+59,56,25.2,4.21,4289
Alpha Cam,Camelopardalis,04,54,03.01,+66,20,33.6,4.26,6936
DL Cam,Camelopardalis,04,32,01.84,+53,54,39.0,5.78,2582.37
HD 46588,Camelopardalis,06,46,14.47,+79,33,58.6,5.44,58
HD 89571,Camelopardalis,10,29,42.21,+84,15,07.6,5.52,133
HD 24141,Camelopardalis,03,53,43.19,+57,58,31.3,5.80,170
HD 23005,Camelopardalis,03,46,00.82,+67,12,06.8,5.79,181
HD 26755,Camelopardalis,04,17,08.07,+57,51,37.7,5.72,263
2 Cam,Camelopardalis,04,39,58.03,+53,28,23.7,5.36,277
HD 37289,Camelopardalis,05,42,26.45,+65,41,51.7,5.62,279
HD 117566,Camelopardalis,13,26,57.22,+78,38,37.7,5.74,292
HD 68375,Camelopardalis,08,19,32.21,+75,45,24.7,5.55,292
Sigma 1694 A,Camelopardalis,12,49,13.80,+83,24,46.3,5.38,303
HD 23277,Camelopardalis,03,49,13.70,+70,52,16.3,5.40,325
